,adress,coordinates
1940,"Москва, Университетский проспект, 9",55.6964345 37.5490139
1941,"Москва, Лукинская улица, 9, корп. 1",55.6430878 37.3383513
1942,"Москва, Волгоградский проспект, 43к2",55.7138301 37.7195908
1943,"Москва, Хабаровская улица, 4, корп. 1",55.8169884 37.8291212
1944,"Москва, Ленинградский проспект, 31, стр. 9",55.7853574 37.5622027
1945,"Москва, Флотская улица, 25",55.86159 37.513188
1946,"Москва, улица Академика Челомея, 3",55.659088 37.5226923
1947,"Москва, Нагорная улица, 24, корп. 2",55.6782746 37.601253
1948,"Москва, Озерковская набережная, 56",55.7336664 37.6410561
1949,"Москва, Комсомольский проспект, 28",55.7269695 37.5795834
1950,"Москва, улица Удальцова, 15",55.6727342 37.51481
1951,"Москва, Садовая-Кудринская улица, 32А, стр. 9",55.7650771 37.5902634
1952,"Москва, поселение Воскресенское, 66",55.7540471 37.620405
1953,"Москва, улица Симоновский Вал, 2",55.7292772 37.6606576
1954,"Москва, Живописная улица, 14, корп. 1",55.7848473 37.4557944
1955,"Москва, улица Крылатские Холмы, 28, корп. 1",55.7645487 37.4145978
1956,"Москва, Зеленоград, к1422",55.988691 37.147565
1957,"Москва, Южнобутовская улица, 58",55.5369079 37.5293648
1958,"Москва, Алтуфьевское шоссе, 97",55.9038526 37.5859262
1959,"Москва, Волоколамское шоссе, 1",55.806535 37.503989
1960,"Москва, Прохладная улица, 28",55.6162246 37.673212
1961,"Москва, 1-й проезд Перова Поля, 9с2",55.7504472 37.7708341
1962,"Москва, Мичуринский проспект, 34",55.6982834 37.4978424
1963,"Москва, улица Искры, 31, корп. 1",55.8641847 37.6513338
1964,"Москва, Большая Грузинская улица, 2/12с1",55.761193 37.579457
1965,"Москва, Селезнёвская улица, 30",55.780731 37.6111367
1966,"Москва, улица Горбунова, 12Б",55.72377 37.38189
1967,"Москва, Потаповский переулок, 5, стр. 2",55.7616643 37.6407152
1968,"Москва, Зеленоград, Берёзовая аллея, 9А",55.9940228 37.2036961
1969,"Москва, улица Римского-Корсакова, 15А",55.877354 37.608436
1970,"Москва, улица Дмитрия Ульянова, 25",55.686239 37.579771
1971,"Москва, Бутырская улица, 89",55.806063 37.5814103
1972,"Москва, улица Фридриха Энгельса, 20с1",55.7724353 37.6831727
1973,"Москва, Открытое шоссе, 5к6",55.8136841 37.7345502
1974,"Москва, Запорожская улица, 1",55.7226768 37.4058265
1975,"Москва, Таганская улица, 23",55.7398459 37.664528
1976,"Москва, Большая Очаковская улица, 42к2",55.677479 37.4461045
1977,"Москва, улица Удальцова, 8",55.6744586 37.5154873
1978,"Москва, улица Покровка, 24/2",55.7596222 37.6485445
1979,"Москва, Большая Юшуньская улица, 1Ак4",55.6510686 37.5962351
1980,"Москва, улица Лескова, 3Г",55.8987239 37.5916113
1981,"Москва, 1-я Мытищинская улица, 19А",55.801025 37.64516
1982,"Москва, Большая Филёвская улица, 37, корп. 1",55.7423935 37.4790411
1983,"Москва, Ленинский проспект, 86",55.677209 37.528163
1984,"Москва, Востряковский проезд, вл10А/2",55.5782123 37.631559
1985,"Москва, Новорогожская улица, 11к2",55.7425122 37.6821797
1986,"Москва, улица Цюрупы, 1с19",55.6703079 37.5812209
1987,"Москва, улица Сретенка, 27/29с1",55.7710098 37.6320767
1988,"Москва, проспект Вернадского, 93",55.6671781 37.4951448
1989,"Москва, Земледельческий переулок, 16/14",55.741434 37.5790563
1990,"Москва, Зелёный проспект, 28, стр. 1",55.7530229 37.7978905
1991,"Москва, Дубнинская улица, 6",55.8593744 37.5686318
1992,"Москва, Куркинское шоссе, 30",55.8854387 37.4040689
1993,"Москва, Барвихинская улица, 8",55.7167031 37.3877039
1994,"Москва, Малый Козихинский переулок, 4",55.7638516 37.5947198
1995,"Москва, Московский, 1-й микрорайон, 49",55.6019563 37.3457138
1996,"Москва, 3-й Крутицкий переулок, 11",55.7311768 37.6661003
1997,"Москва, Семёновская площадь, 1",55.7827028 37.7208326
1998,"Москва, Кусковская улица, 20А",55.7397381 37.7831439
1999,"Москва, Южнопортовая улица, 15, стр. 4А",55.7074118 37.7000057
2000,"Москва, Варшавское шоссе, 97",55.633221 37.624247
2001,"Москва, Полярная улица, 33с3",55.8889909 37.6445437
2002,"Москва, Зеленоград, к2016",55.972323 37.165612
2003,"Москва, Гончарный проезд, 8/40",55.7403006 37.6508065
2004,"Москва, Зелёный проспект, 39, корп. 1",55.7533518 37.7959638
2005,"Москва, улица Покровка, 50/2с1",55.763556 37.6552959
2006,"Москва, Токмаков переулок, 9",55.7675084 37.6701702
2007,"Москва, улица Земляной Вал, 62",55.7466784 37.6547015
2008,"Москва, Новозаводская улица, 27",55.7500782 37.4971634
2009,"Москва, Сиреневый бульвар, 26/43",55.8026578 37.7943913
2010,"Москва, 1-я Дубровская улица, 1к2",55.7306449 37.6686856
2011,"Москва, Никольская улица, 17с1",55.7577199 37.6230761
2012,"Москва, улица Каховка, 20с2",55.658325 37.5681142
2013,"Москва, Новомосковская улица, 1",55.8126387 37.6175879
2014,"Москва, Центральный административный округ, Красносельский район, Каланчёвская улица, 17, стр. 1",55.7726627 37.6517803
2015,"Москва, проспект Вернадского, 94, корп. 2",55.6528862 37.4741146
2016,"Москва, Малый Каретный переулок, 14с1",55.7711205 37.6153086
2017,"Москва, Электродная улица, 2, стр. 7",55.7538455 37.7485605
2018,"Москва, Святоозёрская улица, 18",55.712284 37.891433
2019,"Москва, улица Лобачика, 1, стр. 1",55.7868672 37.6596124
2020,"Москва, улица Пришвина, вл23А",55.8847614 37.6055223
2021,"Москва, Липецкая улица, 22",55.5931041 37.6717391
2022,"Москва, улица Плещеева, 12А",55.8857674 37.6108433
2023,"Москва, ул.Трехгорный вал, Парк Декабрьского восстания",55.7603092 37.5610546
2024,"Москва, улица Маршала Рыбалко, 11",55.797787 37.489077
2025,"Москва, улица Княжнина, 2",55.7667876 37.7057072
2026,"Москва, Гончарная набережная, 9/16с3",55.737562 37.6487229
2027,"Москва, Северо-Восточный административный округ, район Северный",55.7540471 37.620405
2028,"Москва, Суворовская площадь, 2с3",55.7806481 37.6192702
2029,"Москва, Учинская улица, 6",55.8837566 37.5371513
2030,"Москва, Брюсов переулок, 8-10с2",55.7592539 37.609085
2031,"Москва, шоссе Энтузиастов, 9",55.7510497 37.7118724
2032,"Москва, Садовническая улица, 13, стр. 11",55.7470771 37.6312547
2033,"Москва, Малый Николопесковский переулок, 9/1с2",55.7510053 37.5910826
2034,"Москва, Зеленоград, к2008",55.97397 37.162692
2035,"Москва, улица Москворечье, 16с9",55.6424886 37.6678066
2036,"Москва, улица Поляны, 22",55.551431 37.546192
2037,"Москва, МКАД, 22-й километр, вл3",55.6050615 37.7588766
2038,"Москва, Пятницкое шоссе, 39",55.8551339 37.3554283
2039,"Москва, улица Плющиха, 42",55.7410101 37.5764114
2040,"Москва, Гжельский переулок, 19",55.7477866 37.6802088
2041,"Москва, улица Шаболовка, 30",55.71926 37.6086493
2042,"Москва, Садовническая набережная, 7",55.746547 37.628038
2043,"Москва, улица Лавриненко, 2",55.7006579 37.9424007
